,Accuracy,Precision,Recall,F1 Score,ROC AUC,Class-0 Acc,Class-1 Acc
Passive Aggressive Classifier,0.30120481927710846,1.0,0.22666666666666666,0.3695652173913044,0.6133333333333333,1.0,0.22666666666666666
Gaussian Naive Bayes,0.2891566265060241,1.0,0.21333333333333335,0.3516483516483517,0.6066666666666667,1.0,0.21333333333333335
Balanced Random Forest Classifier,0.6506024096385542,0.9423076923076923,0.6533333333333333,0.7716535433070866,0.6391666666666667,0.625,0.6533333333333333
Multinomial Naive Bayes,0.5542168674698795,0.9318181818181818,0.5466666666666666,0.6890756302521007,0.5858333333333333,0.625,0.5466666666666666
Easy Ensemble Classifier,0.5301204819277109,0.9090909090909091,0.5333333333333333,0.6722689075630252,0.5166666666666666,0.5,0.5333333333333333
Balanced Bagging Classifier,0.7228915662650602,0.9333333333333333,0.7466666666666667,0.8296296296296296,0.6233333333333333,0.5,0.7466666666666667
RUSBoost Classifier,0.6867469879518072,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.4358333333333333,0.125,0.7466666666666667
Decision Tree,0.8795180722891566,0.9113924050632911,0.96,0.935064935064935,0.5425,0.125,0.96
XGBoost,0.8674698795180723,0.9102564102564102,0.9466666666666667,0.9281045751633987,0.5358333333333334,0.125,0.9466666666666667
Support Vector Machine,0.9036144578313253,0.9036144578313253,1.0,0.9493670886075949,0.5,0.0,1.0
